name,area,category,desc,tags,scene,status,memo
とんかつ大関,藤沢駅南口,ランチ,ボリューム満点でしっかり食べたい日にぴったりの老舗とんかつ店,"ランチ,がっつり,駅近,和食","仕事合間,ひとり飯,がっつりランチ",公開,
里のうどん,藤沢,ランチ,名物バラ丼とコシのあるうどんで満足感の高い人気店,"ランチ,がっつり,和食","仕事合間,地元ランチ",公開,
えのすいカフェ,片瀬海岸,カフェ,水族館帰りに立ち寄れて海を感じながらゆったりできるカフェ,"カフェ,デート,観光,ゆったり","観光途中,デート休憩",公開,
湘南T-SITE,辻堂元町,カフェ,本と雑貨に囲まれて静かに過ごせる大人向けの落ち着いた空間,"カフェ,おしゃれ,静か,デート,雨の日","初デート,ひとり時間,雨の日デート",公開,
テラスモール湘南,辻堂駅北口,買い物,駅直結でランチも買い物も一度に楽しめる便利な大型施設,"買い物,ランチ,雨の日,デート,駅近","買い物デート,雨の日,家族外出",公開,
湘南パンケーキ,湘南エリア,カフェ,ふわふわ食感のパンケーキでゆったり過ごせる人気カフェ,"カフェ,スイーツ,デート,女子人気","カフェ巡り,休日デート",公開,
新江ノ島水族館,片瀬海岸,観光,海の世界をゆったり楽しめて天候を気にせず過ごせる定番スポット,"観光,子連れ,デート,雨の日","家族お出かけ,初デート,雨の日",公開,
江の島,江の島,観光,海と食べ歩きと景色をまとめて楽しめる湘南の王道観光地,"観光,デート,食べ歩き,散歩,定番","半日観光,初デート,週末散歩",公開,
江の島シーキャンドル,江の島,観光,展望台から湘南の海を一望できて夕方から夜も楽しめるスポット,"観光,デート,夜,景色","夕方デート,夜景デート",公開,
片瀬西浜海水浴場,片瀬海岸,観光,気軽に海を感じられて散歩にもぴったりな湘南らしいビーチ,"観光,散歩,デート,定番","夕方散歩,海を見たい日",公開,
辻堂海浜公園,辻堂,公園,広々とした敷地で子どもも大人ものびのび過ごせる人気の公園,"公園,子連れ,外遊び,散歩","休日,家族お出かけ",公開,
長久保公園,辻堂,公園,自然が多く静かに散歩できる穴場の癒しスポット,"公園,静か,散歩","ひとり時間,のんびり散歩",公開,
遊行寺,藤沢,観光,落ち着いた雰囲気で藤沢の歴史を感じながらゆっくり過ごせる名所,"観光,歴史,静か,散歩","大人のお出かけ,落ち着きたい日",公開,
湘南海岸公園,鵠沼海岸,公園,海沿いで開放感があり散歩や軽い運動にもぴったりの公園,"公園,散歩,観光","朝散歩,リフレッシュ",公開,
8LOUNGE,藤沢駅南口,カフェ,おしゃれな空間でゆったり過ごせる人気のダイニングカフェ,"カフェ,おしゃれ,デート,夜","デート,夜カフェ",公開,
炭火焼肉 ざんまい,藤沢,夜,コスパよく焼肉を楽しめて気軽に行ける人気店,"夜,がっつり,デート","夜ごはん,友人と食事",公開,
松壱家,藤沢,ランチ,濃厚スープがクセになる人気の家系ラーメン店,"ランチ,がっつり,ラーメン","ひとり飯,がっつりランチ",公開,
海の家エリア,片瀬海岸,観光,夏は特に賑わい湘南らしい雰囲気を体験できるスポット,"観光,イベント,デート","夏デート,友人と遊び",公開,
江ノ電沿線散歩,江の島〜藤沢,観光,江ノ電に乗りながらのんびり観光を楽しめる人気コース,"観光,散歩,デート","観光デート,ゆったり旅",公開,
鵠沼海岸,鵠沼,観光,落ち着いた雰囲気で大人の海時間を楽しめるエリア,"観光,散歩,静か",静かに過ごしたい日,公開,
モキチフーズガーデン,藤沢,ランチ,湘南らしい雰囲気でゆったり食事できる人気レストラン,"ランチ,おしゃれ,デート","ランチデート,休日",公開,
サンマルクカフェ藤沢店,藤沢駅前,カフェ,駅近で気軽に使えて休憩にも便利な定番カフェ,"カフェ,駅近,ゆったり","待ち合わせ,休憩",公開,
藤沢駅北口商店街,藤沢駅北口,買い物,ローカル感があり散策するだけでも楽しめるエリア,"買い物,散歩","ちょい歩き,地元散策",公開,
ビストロハンバーグ,藤沢,ランチ,ジューシーなハンバーグで満足度の高い人気店,"ランチ,がっつり,デート","ランチデート,しっかり食べたい日",公開,
カフェパンセ,藤沢,カフェ,落ち着いた雰囲気で静かに過ごせる穴場カフェ,"カフェ,静か,ひとり","ひとり時間,読書",公開,
鵠沼スケートパーク,鵠沼海岸,公園,スケートボードが楽しめて若者にも人気のスポット,"公園,外遊び",アクティブな休日,公開,
江の島岩屋,江の島,観光,洞窟探検気分で非日常を味わえるユニークな観光スポット,"観光,デート","観光デート,非日常体験",公開,
湘南モールフィル,辻堂新町,買い物,家族で使いやすく日常的に便利なショッピングモール,"買い物,ランチ,子連れ","家族外出,普段使い",公開,
藤沢OPA,藤沢駅南口,買い物,若者向けショップが多くショッピングが楽しい施設,"買い物,デート",ショッピングデート,公開,
カレーうどん富士,藤沢,ランチ,スパイスの効いたカレーうどんがクセになる人気店,"ランチ,がっつり,和食","ひとり飯,ランチ",公開,
